      5   -2.5961852   -0.1142120   -1.8379430
     12   -2.6293552   -0.2351560   -1.6900061
     13   -2.6078076   -0.1895612   -1.4371798
     14   -2.9036801   -0.2351621   -1.5205612
     23   -2.6681397   -0.2258197   -1.4270612
     31   -2.5297811   -0.2124468   -1.2661061
     38   -2.8620312   -0.2236687   -1.3635556
     39   -2.7512410   -0.2548342   -1.4279091
     41   -2.9364412   -0.2563415   -1.4656392
     51   -2.7476163   -0.2385360   -1.4041229
     57   -2.6246378   -0.2121271   -1.2078007
     63   -2.5737479   -0.1244905   -1.2253307
     79   -2.7126479   -0.1816744   -1.1703383
     83   -2.6118505   -0.1215819   -1.2370770
     86   -2.5720584   -0.1208947   -1.3677464
     88   -2.7111225   -0.3586355   -1.2479544
     91   -2.6506286   -0.1924342   -1.0875126
    103   -2.6014888   -0.1411512   -1.1548769
    105   -2.5523715   -0.1204177   -1.3365262
    112   -2.5194702   -0.2140734   -1.4861152
    115   -2.5257297   -0.3840254   -1.4978129
    117   -2.5308692   -0.2649465   -1.4976126
    120   -2.5646605   -0.2072295   -1.4251952
    121   -2.6268666   -0.2431078   -1.3408089
    122   -2.6622169   -0.2091105   -1.4020925
    123   -2.5175967   -0.1457980   -1.4126180
    124   -2.4276259   -0.1414473   -1.5091619
    125   -2.3281453   -0.0445730   -1.5847992
    126   -2.3769605   -0.0872594   -1.4210100
    127   -2.4598238   -0.1485183   -1.5690355
    128   -2.5439467   -0.1592593   -1.5607718
    129   -2.5295036   -0.2265404   -1.1999723
    138   -2.5436132   -0.1250750   -1.4670507
    140   -2.5458801   -0.1891997   -1.6636128
    142   -2.5417862   -0.2057512   -1.2411653
    145   -2.3471372   -0.1242137   -1.3686687
    147   -2.3439667   -0.1214467   -1.2326678
    148   -2.3668823   -0.1211310   -1.4635876
    150   -2.4269121   -0.1958979   -1.6148340
    162   -2.5185432   -0.1237247   -1.7452716
    166   -2.5381224   -0.1679087   -1.6102315
    170   -2.7515597   -0.3843012   -1.4880952
    176   -2.5623126   -0.3610695   -1.5924164
    185   -2.7211220   -0.2281433   -1.4741094
    196   -2.7035015   -0.2278408   -1.6129988
    197   -2.6398840   -0.2195121   -1.6375344
    201   -2.5381262   -0.1576351   -1.5781687
    212   -2.4717808   -0.1655099   -1.6888655
    225   -2.6695125   -0.2987372   -1.5112377
    231   -2.6729312   -0.3178612   -1.5303026
    234   -2.6503789   -0.2473625   -1.5053120
    235   -2.5605121   -0.3474938   -1.5119376
    242   -2.6221669   -0.2770644   -1.3508124
    255   -2.6447415   -0.2955912   -1.3456692
    256   -2.3918159   -1.0981612   -1.4758247
    264   -2.7697158   -0.1998620   -1.3062812
